lat,lon,location,AQI,PM2.5,PM10,NO2,CO,O3,SO2,Wind,Temperature,Humidity
28.815691,77.152491,"Alipur, Delhi, Delhi, India",79.0,79.0,61.0,12.2,0.5,1.9,1.9,2.566666666666667,18.333333333333332,59.96666666666667
28.820629,77.101099,"Narela, Delhi, Delhi, India",151.0,151.0,102.0,7.4,4.6,7.3,1.0,2.25,18.65,60.05
28.61104167,77.03733056,"Dwarka, Delhi, Delhi, India",,,,9.0,4.5,,3.2,2.5,32.0,62.0
28.68241,77.030469,"Mundka, Delhi, Delhi, India",114.0,114.0,82.0,7.8,1.0,19.2,3.0,2.925,20.475,59.699999999999996
28.68189167,77.30485833,"IHBAS, Delhi, Delhi, India",,,,16.9,11.3,10.7,6.4,1.0,34.0,52.0
28.5648,77.1744,"R.K. Puram, Delhi, Delhi, India",111.0,111.0,80.0,10.7,1.6,5.8,17.4,1.6666666666666667,25.333333333333332,60.96666666666667
28.636997,77.172248,"Pusa, Delhi, Delhi, India",73.0,73.0,54.0,8.8,1.9,6.0,4.1,5.0,19.55,58.2
28.749722,77.116281,"DTU, Delhi, Delhi, India",354.0,327.0,354.0,11.5,0.1,22.0,15.8,2.3,,
28.63576,77.22445,"New Delhi US Embassy, India; New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",82.0,82.0,,,,,,3.3,23.0,53.0
28.628577,77.241036,"ITO, Delhi, Delhi, India",,,,,,,,,,
17.384050369263,78.456359863281,"Hyderabad US Consulate, India; Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",137.0,137.0,,,,,,4.1,31.0,35.0
30.736056,76.209694,"Kalal Majra, Khanna, India",61.0,61.0,59.0,10.6,9.0,5.7,2.3,1.73,21.16,95.41
18.502167,73.927456,"Hadapsar, Pune, Pune, India",,,,,,,,0.04,-19.5,36.23
21.152875,79.0517531,"Civil Lines, Nagpur, India",,,,,,,,4.1,19.0,63.0
24.762518,84.982348,"SFTI Kusdihra, Gaya, India",40.0,40.0,6.0,3.3,2.9,8.8,1.5,0.25,27.0,35.81
27.554793,76.611536,"Moti Doongri, Alwar, India",89.0,89.0,62.0,0.7,9.6,13.7,3.4,0.9,23.509999999999998,56.845
26.210536,78.171,"Phool Bagh, Gwalior, India",,193.0,151.0,1.8,11.0,,8.2,1.0,26.0,55.1
8.8787,76.6073,"Polayathode, Kollam, India",92.0,92.0,69.0,3.3,2.9,14.6,0.4,2.82,33.0,54.81
28.1485564,77.3320667,"Shyam Nagar, Palwal, India",119.0,119.0,70.0,8.6,7.4,9.9,5.1,0.8700000000000001,13.623333333333333,78.44666666666667
27.19865833,78.00598056,"Sanjay Palace, Agra, India",41.0,25.0,41.0,4.9,,32.0,3.3,0.5,29.200000000000003,43.5
